"","Elo Rating","school","Rank"
"220",1412.96368840085,"Dayton",220
"221",1412.75808673339,"Hofstra",221
"222",1409.23988885562,"St. Bonaventure",222
"223",1409.14014606938,"Western Mich.",223
"224",1409.03064323197,"Utah Tech",224
"225",1405.13720838966,"Air Force",225
"226",1398.11884515677,"William & Mary",226
"227",1397.96759685987,"Alabama St.",227
"228",1396.08755050493,"San Diego St.",228
"229",1394.71147055316,"Ohio St.",229
"230",1391.00292723284,"VCU",230
"231",1390.16921241609,"Towson",231
"232",1389.82834734208,"West Ga.",232
"233",1381.15661890058,"Bradley",233
"234",1378.80419976118,"Manhattan",234
"235",1375.96967230018,"Harvard",235
"236",1374.54565532536,"Bucknell",236
"237",1374.07362990994,"Lipscomb",237
"238",1373.58660446744,"Mount St. Mary's",238
"239",1372.37012003172,"Wagner",239
"240",1371.75387153279,"Fordham",240
"241",1371.28073008751,"Maine",241
"242",1369.72485877602,"Niagara",242
"243",1369.12574330623,"SFA",243
"244",1368.72862782622,"Omaha",244
"245",1367.19406092986,"Sam Houston",245
"246",1366.17811320485,"Lehigh",246
"247",1365.86703882516,"Seattle U",247
"248",1365.53238977006,"NIU",248
"249",1361.1815731498,"UAlbany",249
"250",1361.11503714237,"CSU Bakersfield",250
"251",1360.74313184382,"Akron",251
"252",1357.18406189563,"Georgetown",252
"253",1355.27516984315,"N.C. A&T",253
"254",1350.80346544588,"Eastern Mich.",254
"255",1344.35698070669,"Grambling",255
"256",1341.4192064474,"UNC Asheville",256
"257",1339.65421970235,"Western Ill.",257
"258",1339.49087498038,"Washington St.",258
"259",1336.16254499317,"Jackson St.",259
"260",1335.02897944419,"Longwood",260
"261",1334.53226234699,"Central Mich.",261
"262",1334.32069942542,"Bellarmine",262
"263",1327.82941227157,"Princeton",263
"264",1323.65804928619,"Oakland",264
"265",1323.19349170158,"Butler",265
"266",1322.50539795119,"Central Ark.",266
"267",1321.02395594974,"UIW",267
"268",1319.35778287395,"Northern Colo.",268
"269",1318.87826001886,"Gardner-Webb",269
"270",1316.81969570432,"Ohio",270
"271",1316.38152627145,"UC Riverside",271
"272",1316.02526086447,"UMBC",272
"273",1313.99638413699,"Pacific",273
"274",1313.09210400295,"Dartmouth",274
"275",1311.54679297166,"Cornell",275
"276",1311.1760069483,"Merrimack",276
"277",1310.30279077312,"UMass Lowell",277
"278",1306.63167373866,"UT Martin",278
"279",1306.23593171098,"Le Moyne",279
"280",1305.19509718936,"Siena",280
"281",1301.23144361728,"Presbyterian",281
"282",1300.11118230601,"Lafayette",282
"283",1299.02930686198,"Brown",283
"284",1294.20907459553,"Iona",284
"285",1291.86785816215,"South Dakota St.",285
"286",1283.36895753005,"Canisius",286
"287",1273.16605592474,"Southern U.",287
"288",1273.13561495504,"Valparaiso",288
"289",1270.01071218713,"Queens (NC)",289
"290",1267.64729373148,"Pepperdine",290
"291",1266.84938352109,"Massachusetts",291
"292",1257.04985506563,"Stonehill",292
"293",1255.49024920164,"Morehead St.",293
"294",1249.45502201767,"Eastern Ky.",294
"295",1246.25835150596,"Mercyhurst",295
"296",1245.37741223908,"Youngstown St.",296
"297",1231.58482290503,"FDU",297
"298",1227.4101497986,"Ark.-Pine Bluff",298
"299",1209.88039256199,"Texas Southern",299
"300",1209.86861140733,"Purdue Fort Wayne",300
"301",1205.19592094846,"Hartford",301
"302",1193.48919501169,"Prairie View",302
"303",1147.90615634843,"Coppin St.",303
"304",1144.22536866323,"Saint Peter's",304
"305",1104.57453368159,"Delaware St.",305
"306",1050.94428167053,"Mississippi Val.",306
"307",991.815076941089,"UMES",307
"308",986.996847163932,"Alabama A&M",308
"309",977.778871252724,"Norfolk St.",309
"310",922.837893202488,"Alcorn",310
