"date","year","match_id","loc","loc_neut","home_team","away_team","home_runs","away_runs","home_win","away_win","home_conference","away_conference","conference_group_1_home","conference_group_2_home","conference_group_3_home","conference_group_1_away","conference_group_2_away","conference_group_3_away","last_year_bid_home","last_year_bid_away"
2023-04-08,2023,33,1,1,"Missouri","Vanderbilt","1","0",1,0,"SEC","SEC",1,0,0,1,0,0,0,1
2023-04-11,2023,34,1,1,"Missouri St.","Missouri","1","0",0,1,"MVC","SEC",0,0,0,1,0,0,1,0
2023-04-13,2023,35,1,1,"Texas A&M","Missouri","1","0",0,1,"SEC","SEC",1,0,0,1,0,0,1,0
2023-04-14,2023,36,1,1,"Texas A&M","Missouri","1","0",0,1,"SEC","SEC",1,0,0,1,0,0,1,0
2023-04-15,2023,37,1,1,"Texas A&M","Missouri","1","0",0,1,"SEC","SEC",1,0,0,1,0,0,1,0
2023-04-18,2023,38,1,1,"Missouri","Missouri St.","1","0",1,0,"SEC","MVC",1,0,0,0,0,0,0,1
2023-04-21,2023,39,1,1,"Missouri","Alabama","1","0",1,0,"SEC","SEC",1,0,0,1,0,0,0,0
2023-04-22,2023,40,1,1,"Missouri","Alabama","1","0",1,0,"SEC","SEC",1,0,0,1,0,0,0,0
2023-04-23,2023,41,1,1,"Missouri","Alabama","1","0",1,0,"SEC","SEC",1,0,0,1,0,0,0,0
2023-04-26,2023,42,1,1,"SIUE","Missouri","1","0",0,1,"OVC","SEC",0,0,0,1,0,0,0,0
2023-04-28,2023,43,1,1,"Florida","Missouri","1","0",0,1,"SEC","SEC",1,0,0,1,0,0,1,0
2023-04-29,2023,44,1,1,"Florida","Missouri","1","0",0,1,"SEC","SEC",1,0,0,1,0,0,1,0
2023-04-30,2023,45,1,1,"Florida","Missouri","1","0",0,1,"SEC","SEC",1,0,0,1,0,0,1,0
2023-05-02,2023,46,1,1,"Missouri","Kansas","1","0",1,0,"SEC","Big 12",1,0,0,0,1,0,0,0
2023-05-05,2023,47,1,1,"Missouri","Ole Miss","1","0",1,0,"SEC","SEC",1,0,0,1,0,0,0,1
2023-05-06,2023,48,1,1,"Missouri","Ole Miss","1","0",1,0,"SEC","SEC",1,0,0,1,0,0,0,1
2023-05-07,2023,49,1,1,"Missouri","Ole Miss","1","0",1,0,"SEC","SEC",1,0,0,1,0,0,0,1
2023-05-12,2023,50,1,1,"Missouri","Georgia","1","0",1,0,"SEC","SEC",1,0,0,1,0,0,0,1
2023-05-13,2023,51,1,1,"Missouri","Georgia","1","0",1,0,"SEC","SEC",1,0,0,1,0,0,0,1
2023-05-14,2023,52,1,1,"Missouri","Georgia","1","0",1,0,"SEC","SEC",1,0,0,1,0,0,0,1
2023-05-16,2023,53,1,1,"Missouri","Indiana St.","1","0",1,0,"SEC","MVC",1,0,0,0,0,0,0,0
2023-05-18,2023,54,1,1,"Auburn","Missouri","1","0",0,1,"SEC","SEC",1,0,0,1,0,0,1,0
2023-05-19,2023,55,1,1,"Auburn","Missouri","1","0",0,1,"SEC","SEC",1,0,0,1,0,0,1,0
2023-05-20,2023,56,1,1,"Auburn","Missouri","1","0",0,1,"SEC","SEC",1,0,0,1,0,0,1,0
