wn_name,wn_slug
North Florida,North-Florida
Northeastern,Northeastern
Northern Colorado,Northern-Colorado
Northern Illinois,Northern-Illinois
Northern Kentucky,Northern-Kentucky
Northwestern,Northwestern
Northwestern State,Northwestern-State
Notre Dame,Notre-Dame
Oakland,Oakland
Ohio,Ohio
Ohio State,Ohio-State
Oklahoma,Oklahoma
Oklahoma State,Oklahoma-State
Old Dominion,Old-Dominion
Ole Miss,Ole-Miss
Omaha,Omaha
Oral Roberts,Oral-Roberts
Oregon,Oregon
Oregon State,Oregon-State
Pacific,Pacific
Penn,Penn
Penn State,Penn-State
Pepperdine,Pepperdine
Pittsburgh,Pittsburgh
Portland,Portland
Prairie View A&M,Prairie-View-AM
Presbyterian College,Presbyterian-College
Princeton,Princeton
Purdue,Purdue
Queens,Queens
Quinnipiac,Quinnipiac
Radford,Radford
Rhode Island,Rhode-Island
Rice,Rice
Richmond,Richmond
Rider,Rider
Rutgers,Rutgers
Sacramento State,Sacramento-State
Sacred Heart,Sacred-Heart
Saint Bonaventure,Saint-Bonaventure
Saint John's,Saint-Johns
Saint Joseph's,Saint-Josephs
Saint Louis,Saint-Louis
Saint Mary's College,Saint-Marys-College
Saint Peter's,Saint-Peters
Saint Thomas,Saint-Thomas
Sam Houston State,Sam-Houston-State
Samford,Samford
San Diego,San-Diego
San Diego State,San-Diego-State
San Francisco,San-Francisco
San Jose State,San-Jose-State
Santa Clara,Santa-Clara
Seattle University,Seattle-University
Seton Hall,Seton-Hall
Siena,Siena
SIUE,SIUE
South Alabama,South-Alabama
South Carolina,South-Carolina
South Carolina Upstate,South-Carolina-Upstate
South Dakota State,South-Dakota-State
South Florida,South-Florida
Southeast Missouri,Southeast-Missouri
Southeastern Louisiana,Southeastern-Louisiana
Southern,Southern
Southern Illinois,Southern-Illinois
Southern Indiana,Southern-Indiana
Southern Miss,Southern-Miss
Stanford,Stanford
Stephen F. Austin,Stephen-F-Austin
Stetson,Stetson
Stonehill,Stonehill
Stony Brook,Stony-Brook
Tarleton State,Tarleton-State
TCU,TCU
Tennessee,Tennessee
Tennessee Tech,Tennessee-Tech
Tennessee-Martin,Tennessee-Martin
Texas,Texas
Texas A&M,Texas-AM
Texas A&M-Corpus Christi,Texas-AM-Corpus-Christi
Texas Southern,Texas-Southern
Texas State,Texas-State
Texas Tech,Texas-Tech
The Citadel,The-Citadel
Toledo,Toledo
Towson,Towson
Troy,Troy
Tulane,Tulane
UAB,UAB
UC Davis,UC-Davis
UC Irvine,UC-Irvine
UC Riverside,UC-Riverside
UC San Diego,UC-San-Diego
UC Santa Barbara,UC-Santa-Barbara
UCF,UCF
UCLA,UCLA
UIC,UIC
ULM,ULM
UMass,UMass
UMass-Lowell,UMass-Lowell
UMBC,UMBC
UNC Asheville,UNC-Asheville
UNCG,UNCG
UNCW,UNCW
UNLV,UNLV
USC,USC
UTA,UTA
Utah,Utah
Utah Tech,Utah-Tech
Utah Valley,Utah-Valley
UTRGV,UTRGV
UTSA,UTSA
Valparaiso,Valparaiso
Vanderbilt,Vanderbilt
VCU,VCU
Villanova,Villanova
Virginia,Virginia
Virginia Tech,Virginia-Tech
VMI,VMI
Wagner,Wagner
Wake Forest,Wake-Forest
Washington,Washington
Washington State,Washington-State
West Georgia,West-Georgia
West Virginia,West-Virginia
Western Carolina,Western-Carolina
Western Illinois,Western-Illinois
Western Kentucky,Western-Kentucky
Western Michigan,Western-Michigan
Wichita State,Wichita-State
William & Mary,William-Mary
Winthrop,Winthrop
Wofford,Wofford
Wright State,Wright-State
Xavier,Xavier
Yale,Yale
Youngstown State,Youngstown-State
